house_type,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status,numBedroom,house_layout,house_size_in_sqft,price_approx_usd
Villa ,Tuglak Road,Delhi,28.59545326,77.21033478,2010105,INR,4.0,2.0,Not Negotiable,4.21,Posted a year ago,Its four bhk villa in the super location of delhi central tuglakhh road it is thebsuper location road bank atm school college all r on wwlking destance," 60,10,155",Unfurnished,4,BHK,5562.0,23438.72
Independent Floor ,Saket,Delhi,28.52354813,77.20014191,235595,INR,3.0,2.0,Not Negotiable,0.96,Posted a year ago,Its three bhk builder floor in the super location of delhi south saket it is the super location road bank atm school college all r on walking destance," 7,54,225",Unfurnished,3,BHK,2856.0,2747.14
Independent Floor ,Saket,Delhi,28.52354813,77.20014191,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted a year ago,Well designed 3 bhk builder floor is available at a prime location in Saket. It has a built-up area of 2856 sqft and is available for rent at Rs. 3.01 lac per month . It is an unfurnished property. It is on 3rd floor. The building has a total of 4 floor(s). It is facing east direction. It has 3 bathrooms and 2 balconies. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ," 10,11,001",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Saket,Delhi,28.52354813,77.20014191,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted a year ago,Its three bhk builder floor in the super location of delhi south saket it is the super location road bank atm school college all r on walking destance," 10,10,202",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Maharani Bagh,Delhi,28.57262039,77.26422119,401015,INR,4.0,2.0,Not Negotiable,0.79,Posted a year ago,Its four bhk builder floor in the super location of delhi south maharani bagh it is the super location road bank atm school college all r on walking destance," 12,02,002",Unfurnished,4,BHK,5896.0,4676.01
Independent Floor ,New Friends Colony,Delhi,28.56705093,77.27355957,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted a year ago,Its three bhk builder floor in the super location of elhi south new friends colony it is the super location road bank atm school college all r on walking destance," 10,10,220",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Anand Niketan,Delhi,28.57893944,77.16504669,234492,INR,3.0,2.0,Not Negotiable,0.96,Posted a year ago,This spacious 3 bhk builder floor is available for rental and is located in the heart of Anand Niketan. It has a built-up area of 2856 sqft and is available for rent at Rs. 2.34 lac per month . The house is unfurnished. Itâs on 3rd floor out of 4 floors building. It is facing east direction. The property has 3 bathrooms and 2 balconies. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Contact us for more details. ," 7,51,114",Unfurnished,3,BHK,2856.0,2734.28
Independent Floor ,Anand Niketan,Delhi,28.57893944,77.16504669,301010,INR,3.0,2.0,Not Negotiable,1.23,Posted a year ago,Itâs a 3 bhk builder floor situated in Anand Niketan. It has a built-up area of 2856 sqft and is available for rent at Rs. 3.01 lac per month . It is an unfurnished property. Itâs on 3rd floor out of 4 floors building. It is facing east direction. It has 3 bathrooms and 2 balconies. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact us for more details. ," 18,10,202",Unfurnished,3,BHK,2856.0,3509.91
Independent Floor ,Golf Links,Delhi,28.59763908,77.23332977,301101,INR,3.0,2.0,Not Negotiable,1.23,Posted a year ago,Its three bhk builder floor in the super location of delhi south golf links it is the super location road bank atm school college all r on walking destance," 10,10,202",Unfurnished,3,BHK,2856.0,3510.97
Villa ,Friends Colony,Delhi,28.56834984,77.27211761,504005,INR,4.0,2.0,Not Negotiable,1.06,Posted a year ago,Its four bhk villa in the super location of delhi south friends colony it is the super location road bank atm school college all r on walking destancw," 15,04,401",Unfurnished,4,BHK,5569.0,5876.92
Independent Floor ,Friends Colony,Delhi,28.56834984,77.27211761,301022,INR,3.0,2.0,Not Negotiable,1.23,Posted a year ago,Its three bhk builder floor in the super location of delhi south friends colony it is the super location road bank atm school college all r on walking destanc," 10,20,202",Unfurnished,3,BHK,2856.0,3510.05
Independent Floor ,New Friends Colony,Delhi,28.56705093,77.27355957,235595,INR,3.0,2.0,Not Negotiable,0.91,Posted a year ago,Its three bhk builder floor in the great location of delhi south new friends colony it is the super location road bank atm school college all r on walking destanc e," 7,54,225",Unfurnished,3,BHK,3011.0,2747.14
Independent House ,Friends Colony,Delhi,28.56834984,77.27211761,844855,INR,4.0,3.0,Not Negotiable,1.67,Posted a year ago,The house is unfurnished. It is facing east direction. The property has 4 bathrooms and 3 balconies. It is made in way to provide a comfortable living for the residents. Please contact us for more details. ," 20,10,105",Unfurnished,4,BHK,5896.0,9851.39
Independent Floor ,Friends Colony,Delhi,28.56834984,77.27211761,504044,INR,4.0,2.0,Not Negotiable,1.06,Posted a year ago,Its four bhk builder floor in the super location of delhi south friends colony it is the super location road bamk atm school college all r on walking destancs," 15,40,405",Unfurnished,4,BHK,5569.0,5877.38
Independent Floor ,Friends Colony,Delhi,28.56834984,77.27211761,304044,INR,4.0,2.0,Not Negotiable,0.64,Posted a year ago,Its four bhk builder dloor in the super location of delhi south friends colony it is the super location road bank atm school college all r on walkisng destance," 10,10,100",Unfurnished,4,BHK,5569.0,3545.29
Independent Floor ,Geetanjali Enclave,Delhi,28.53087997,77.20243073,301022,INR,4.0,2.0,Not Negotiable,0.6,Posted a year ago,"A spacious 4 bhk builder floor is available for rental in Geetanjali Enclave, Delhi. It has area of 5896 sqft and is available at a rent of Rs. 3.01 lac. Itâs on 2nd floor out of 4 floors building. Its main door is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. "," 10,10,220",Unfurnished,4,BHK,5896.0,3510.05
Villa ,Golf Links,Delhi,28.59763908,77.23332977,1202001,INR,4.0,2.0,Not Negotiable,2.38,Posted 5 months ago,"A 4 bhk property is available for rent in Golf Links, Delhi. The property has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. "," 40,10,101",Unfurnished,4,BHK,5896.0,14015.87
